FreelanceHub Capstone Project - Week 1 Timesheet,,,,,,
Student: Dhruv Chavda,,,,,,
,,,,,,
Date,Day,Task #,Start Time,End Time,Hours,Activity/Description
15-Jan-2026,Thursday,1,09:00,11:00,2.0,Class - Capstone project kickoff and requirements review
,,2,14:00,15:30,1.5,Research - Studied competitor platforms (Upwork/Fiverr)
,,,,,3.5,Day Total
,,,,,,
16-Jan-2026,Friday,1,10:00,11:30,1.5,Documentation - Reviewed and finalized requirements document
,,2,13:00,14:30,1.5,Planning - Created wireframe sketches for homepage and auth pages
,,,,,3.0,Day Total
,,,,,,
17-Jan-2026,Saturday,1,11:00,13:00,2.0,Research - Studied React Router and Vite documentation
,,2,15:00,16:00,1.0,Planning - Planned folder structure (Requirements Doc Section 6.1)
,,,,,3.0,Day Total
,,,,,,
18-Jan-2026,Sunday,1,10:00,12:00,2.0,Project Setup - Installed Node.js and dev environment
,,2,14:00,17:00,3.0,Project Setup - Initialized React + TypeScript + Vite + Tailwind
,,,,,5.0,Day Total
,,,,,,
19-Jan-2026,Monday,1,10:00,12:30,2.5,Auth Foundation - Created Login page UI with form validation
,,2,14:00,16:30,2.5,Auth Foundation - Created Register page with user type selection
,,,,,5.0,Day Total
,,,,,,
20-Jan-2026,Tuesday,1,10:00,12:00,2.0,Frontend - Built homepage with hero section and navigation
,,2,14:00,16:00,2.0,Frontend - Created basic dashboard layout for logged-in users
,,,,,4.0,Day Total
,,,,,,
21-Jan-2026,Wednesday,1,09:00,11:00,2.0,Documentation - Updated README and project docs
,,2,13:00,14:30,1.5,Version Control - Created GitHub repo and pushed initial code
,,,,,3.5,Day Total
,,,,,,
22-Jan-2026,Thursday,1,10:00,11:30,1.5,Review - Tested all pages and reviewed week progress
,,,,,1.5,Day Total
,,,,,,
,,,,WEEK 1 TOTAL:,28.5 hours,
,,,,,,
Summary by Category:,,,,,,
Research & Planning,,,,,7.0 hours,
Documentation,,,,,5.0 hours,
Project Setup,,,,,5.0 hours,
Auth Foundation (US-1 & US-2),,,,,5.0 hours,
Frontend Development,,,,,4.0 hours,
Testing & Review,,,,,2.5 hours,
